high,low,bid,timestamp
4.9758,4.97244,4.97244,1776558313
4.978,4.97244,4.9758,1776503841
4.9938,4.94387,4.978,1776461232
5.0129,4.97994,4.98709,1776383878
5.0002,4.97608,4.9923,1776297217
5.0092,4.96747,4.9853,1776211150
5.0436,4.98173,4.9944,1776124775
5.0064,5.0004,5.00044,1776038348
5.1085,4.99439,5.0035,1775856403
5.1427,5.0555,5.08865,1775778960
5.1709,5.0655,5.0991,1775692725
5.1717,5.12474,5.1506,1775606348
5.1747,5.13224,5.13642,1775519956
5.1592,5.15286,5.15331,1775432287
5.1577,5.14474,5.1556,1775265895
